id,Equipment Type,Model,Link,GROUND PRESSURE,ARM CROWD FORCE,DUMP HEIGHT,MAXIMUM TRACTION FORCE,BUCKET BREAKOUT FORCE (ISO),NET POWER,FULL TURN TIPPING LOAD,MAX TRAVEL SPEED REVERSE,RATED PAYLOAD,BUCKET BREAKOUT FORCE ISO,HEAPED CAPACITY,ENGINE MODEL,BUCKET BREAKOUT FORCE,Machine Type,BUCKET CAPACITY (HEAPED),TRAVEL SPEED,BUCKET CAPACITY,TAIL SWING RADIUS,MAXIMUM TORQUE,OPERATING CAPACITY,MAX. DIGGING REACH,BOOM BREAKOUT FORCE,"CONFIGURATION: LIFT PATH: (VERTICAL/RADIAL), UNDERCARRAIGE (TIRES, TRACKS)",MAXIMUM GRADE,MAX TRAVEL SPEED FORWARD,SWING SPEED,"CONFIGURATION: COMPACT, CRAWLER, WHEELED, SPECIALITY",DUMP CLEARANCE WITH BUCKET (STANDARD Z-BAR),MAX HINGE PIN HEIGHT,Impact Power Range,TRAVEL SPEED FORWARD,ARM CROWD FORCE (ISO),ARM CROWD FORCE ISO,MAX. DIGGING DEPTH,"CONFIGURATION: ZBAR, TOOL MASTER, EXTENDED BOOM","CONFIGURATIONS: ZBAR, TOOL MASTER, EXTENDED BOOM",BLADE DIGGING DEPTH,MAX TRAVEL SPEED,OPERATING WEIGHT,TRAVEL SPEED REVERSE,Breaker Operating Weight Range,Blow Rate Range
54,Z-Bar & XT Wheel Loaders,HL970A,https://na.hd-hyundaice.com/equipment/z-bar-xt-wheel-loaders/hl970a,,,,,,"325 hp @ 2,100 rpm","34,945 lb.",,,,,Cummins/ L9,"47,873 lb.",,5.49 yd³,,,,"1,207 lb.ft @ 1,100 rpm",,,,,,,,,"10' 1.3""",,,24.9 mph,,,,ZBAR,,,,"54,454 lb.",17.3 mph,,
55,Z-Bar & XT Wheel Loaders,HL970A XT,https://na.hd-hyundaice.com/equipment/z-bar-xt-wheel-loaders/hl970a-xt,,,,,,"325 hp @ 2,100 rpm","30,754 lb.",,,,,Cummins/ L9,"48,010 lb.",,5.49 yd³,,,,"1,207 lb.ft @ 1,100 rpm",,,,,,,,,"11' 8.6""",,,24.9 mph,,,,EXTENDED BOOM,,,,"55,116 lb.",17.3 mph,,
56,Z-Bar & XT Wheel Loaders,HL975,https://na.hd-hyundaice.com/equipment/z-bar-xt-wheel-loaders/hl975,,,,,,"331 hp @ 2,100 rpm","40,455 lb.",,,,,Cummins QSG12,"51,665 lb.",,6.28 yd³,,,,"1,287 lb.ft @ 1,400 rpm",,,,,,,,,"10' 2.8""",,,24.9 mph,,,,ZBAR,,,,"58,422 lb.",15.7 mph,,
57,Z-Bar & XT Wheel Loaders,HL975 XT,https://na.hd-hyundaice.com/equipment/z-bar-xt-wheel-loaders/hl975-xt,,,,,,"331 hp @ 2,100 rpm","37,016 lb.",,,,,Cummins QSL9,"51,357 lb.",,6.28 yd³,,,,"1,287 lb.ft @ 1,400 rpm",,,,,,,,,"11' 5.2""",,,24.9 mph,,,,EXTENDED BOOM,,,,"60,175 lb.",15.7 mph,,
58,Z-Bar & XT Wheel Loaders,HL985A,https://na.hd-hyundaice.com/equipment/z-bar-xt-wheel-loaders/hl985a,,,,,,"420 hp @ 2,100 rpm","50,600 lb.",,,,,Cummins/ X12,"62,615 lb.",,9.2 yd³,,,,"1,696 lb.ft @ 1,400 rpm",,,,,,,,,"11' 0.3""",,,24.9 mph,,,,ZBAR,,,,"77,933 lb.",15.7 mph,,
59,Home,HL980A,https://na.hd-hyundaice.com/hl980a,,,,,,"351 hp  @ 2,200 rpm","46,894 lb.",,,,,Cummins/ X12,"54,388 lb.",,7.32 yd³,,,,"1,370 lb.ft @ 1,400 rpm",,,,,,,,,"10' 9.9""",,,24.9 mph,,,,ZBAR,,,,"69,119 lb.",15.7 mph,,
60,Z-Bar & XT Wheel Loaders,HL980A XT,https://na.hd-hyundaice.com/equipment/z-bar-xt-wheel-loaders/hl980a-xt,,,,,,"351 hp @ 2,000 rpm","41,226 lb.",,,,,Cummins/ X12,"53,793 lb.",,7.32 yd³,,,,"1,370 lb.ft @ 1,400 rpm",,,,,,,,,"10' 9.9""",,,24.9 mph,,,,EXTENDED BOOM,,,,"69,450 lb.",15.7 mph,,
61,Tool Master Wheel Loaders,HL940A TM,https://na.hd-hyundaice.com/equipment/tool-master-wheel-loaders/hl940a-tm,,,,,,"154 HP @ 2,200 rpm","16,314 lb.",16.2 mph,,,,CUMMINS / B6.7,"23,876 lb.",,3.0 yd³,,,,"550 lb·ft @ 1,300 rpm",,,,,,24.9 mph,,,"9' 3.8""",,,,,,,,TOOL MASTER,,,"30,644 lb.",,,
62,Tool Master Wheel Loaders,HL930A TM,https://na.hd-hyundaice.com/equipment/tool-master-wheel-loaders/hl930a-tm,,,,,,"130 HP @ 2,200 rpm","15,543 lb.",15.4 mph,,,,CUMMINS / B4.5,"21,936 lb.",,2.49 yd³,,,,"467 lb·ft @ 1,200 rpm",,,,,,24.5 mph,,,"9' 1.6""",,,,,,,,TOOL MASTER,,,"26,367 lb.",,,
63,Tool Master Wheel Loaders,HL955A TM,https://na.hd-hyundaice.com/equipment/tool-master-wheel-loaders/hl955a-tm,,,,,,"197 HP @ 2,200 rpm","21,054 lb.",15.5 mph,,,,CUMMINS / B6.7,"28,219 lb.",,3.7 yd³,,,,"730 lb·ft @ 1,300 rpm",,,,,,24.4 mph,,,"9' 4.2""",,,,,,,,TOOL MASTER,,,"36,376 lb.",,,
