id,equipment_name,model,spec_name,spec_value
153,Rough Terrain Crane XCR55L5,XCR55L5,Engine rated power(KW/r/min),162/2200
154,Rough Terrain Crane XCR70,XCR70,Maximum rated lifting capacity(t),70
155,Rough Terrain Crane XCR70,XCR70,Fully-extended boom(m),45
156,Rough Terrain Crane XCR70,XCR70,Engine rated power(KW/r/min),192/2000
157,Rough Terrain Crane XCR90,XCR90,Maximum rated lifting capacity(t),90
158,Rough Terrain Crane XCR90,XCR90,Fully-extended boom(m),48
159,Rough Terrain Crane XCR90,XCR90,Engine rated power(KW/r/min),192/2000
160,Rough Terrain Crane XCR120,XCR120,Maximum rated lifting capacity(t),120
161,Rough Terrain Crane XCR120,XCR120,Fully-extended boom(m),50
162,Rough Terrain Crane XCR120,XCR120,Engine rated power(KW/r/min),221/2200
163,Rough Terrain Crane XCR30_Y,XCR30_Y,Maximum rated lifting capacity(t),30
164,Rough Terrain Crane XCR30_Y,XCR30_Y,Fully-extended boom(m),35
165,Rough Terrain Crane XCR30_Y,XCR30_Y,Engine rated power(KW/r/min),162/2000
166,Rough Terrain Crane XCR35_Y,XCR35_Y,Maximum rated lifting capacity(t),35
167,Rough Terrain Crane XCR35_Y,XCR35_Y,Fully-extended boom(m),35
168,Rough Terrain Crane XCR35_Y,XCR35_Y,Engine rated power(KW/r/min),162/2000
169,Rough Terrain Crane XCR70_Y,XCR70_Y,Maximum rated lifting capacity(t),70
170,Rough Terrain Crane XCR70_Y,XCR70_Y,Fully-extended boom(m),45
171,Rough Terrain Crane XCR70_Y,XCR70_Y,Engine rated power(KW/r/min),192/2000
172,Loader Crane GSQS175-4,GSQS175-4,Max.Lifting Capacity (kg.m),17500
173,Loader Crane GSQS175-4,GSQS175-4,Max. Working Height (m),15.3
174,Loader Crane GSQS175-4,GSQS175-4,Max. Working Radius (m),13.5
175,Loader Crane GSQS200-4,GSQS200-4,Max.Lifting Capacity (kg.m),20000
176,Loader Crane GSQS200-4,GSQS200-4,Max. Working Height (m),16.7
177,Loader Crane GSQS200-4,GSQS200-4,Max. Working Radius (m),14.5
178,Loader Crane GSQS250-4,GSQS250-4,Max.Lifting Capacity (kg.m),26000
179,Loader Crane GSQS250-4,GSQS250-4,Max. Working Height (m),17.5
180,Loader Crane GSQS250-4,GSQS250-4,Max. Working Radius (m),16
181,Loader Crane GSQS300-4,GSQS300-4,Max.Lifting Capacity (kg.m),33000
182,Loader Crane GSQS300-4,GSQS300-4,Max. Working Height (m),17.2
183,Loader Crane GSQS300-4,GSQS300-4,Max. Working Radius (m),15
184,Loader Crane GSQS350-5,GSQS350-5,Max.Lifting Capacity (kg.m),36000
185,Loader Crane GSQS350-5,GSQS350-5,Max. Working Height (m),21
186,Loader Crane GSQS350-5,GSQS350-5,Max. Working Radius (m),19.1
187,Loader Crane GSQS400-5,GSQS400-5,Max.Lifting Capacity (kg.m),42000
188,Loader Crane GSQS400-5,GSQS400-5,Max. Working Height (m),23.1
189,Loader Crane GSQS400-5,GSQS400-5,Max. Working Radius (m),21.2
190,Tower crane XGT7026E-12S1,XGT7026E-12S1,Max lifting capacity(t),12
191,Tower crane XGT7026E-12S1,XGT7026E-12S1,Max working range & tip-load (m/t),70/2.6
192,Tower crane XGT7026E-12S1,XGT7026E-12S1,Max free-standing height(m),65
193,Tower crane XGT7020E-10S1,XGT7020E-10S1,Max lifting capacity(t),10
194,Tower crane XGT7020E-10S1,XGT7020E-10S1,Max working range & tip-load (m/t),70/2.0
195,Tower crane XGT7020E-10S1,XGT7020E-10S1,Max free-standing height(m),65
