id,model_name,product_family,product_category,Maximum Weight at Stick Nose,Maximum Pin Height at Stick Nose,Maximum Digging Depth,Net Power,Maximum Travel Speed,Operating Weight Maximum,Forward/Reverse - 2nd Gear,Operating Weight,Dig Depth,Engine Power - ISO 14396:2002,Net Power - ISO 9249
188,335 - Tier 4 / Stage V,Excavators,Medium Excavators,,,22.9 ft,,,,,77000 lb,,,273 hp
189,336 -Tier 4 / Stage V,Excavators,Large Excavators,,,26.11 ft,,,,,81100 lb,,,300 hp
190,340 - Tier 4 / Stage V,Excavators,Large Excavators,,,26.9 ft,,,,,83100 lb,,,346 hp
191,350 - Tier 4 / Stage V,Excavators,Large Excavators,,,26.11 ft,,,,,105100 lb,,,413 hp
192,352 - Tier 4 / Stage V,Excavators,Large Excavators,,,26.11 ft,,,,,107800 lb,,,443 hp
193,374 - Tier 4 / Stage V,Excavators,Large Excavators,,,28.1 ft,,,,,162900 lb,,,484 hp
194,395 - Tier 4 / Stage V,Excavators,Large Excavators,,,31.9 ft,,,,,207400 lb,,,542 hp
195,330 UHD Hydraulic Excavator,Excavators,Demolition Excavators,7300 lb,66.8 ft,,,,,,101400 lb,,,
196,340 Straight Boom,Excavators,Demolition Excavators,9170 lb,39.4 ft,,,,,,87800 lb,,,
197,340 UHD,Excavators,Demolition Excavators,8160 lb,72.2 ft,,,,,,122600 lb,,,
198,352 Straight Boom,Excavators,Demolition Excavators,12456 lb,42.2 ft,,,,,,121000 lb,,,
199,352 UHD,Excavators,Demolition Excavators,8157 lb,90.8 ft,,,,,,142200 lb,,,
200,340 Long Reach,Excavators,Long Reach Excavation,,,42.8 ft,,,,,96500 lb,,,346 hp
201,352 Long Reach,Excavators,Long Reach Excavation,,,42.8 ft,,,,,128100 lb,,,443 hp
202,M314,Excavators,Wheel Excavators,,,,,23 mile/h,39683 lb,,,,134 hp,
203,M315,Excavators,Wheel Excavators,,,,,21.7 mile/h,39680 lb,,,,148 hp,
204,M316,Excavators,Wheel Excavators,,,,,21.7 mile/h,36400 lb,,,,148 hp,
205,M318,Excavators,Wheel Excavators,,,,,21.7 mile/h,43980 lb,,,,174 hp,
206,M319,Excavators,Wheel Excavators,,,,,21.7 mile/h,46407 lb,,,,174 hp,
207,M320,Excavators,Wheel Excavators,,,,,21.7 mile/h,46740 lb,,,,174 hp,
208,M322,Excavators,Wheel Excavators,,,,,,52911 lb,18.6 mile/h,,,174 hp,
209,300.9D,Excavators,Mini Excavators,,,,13 hp,,,,2061 lb,68 in,,
