id,equipment_name,model,spec_name,spec_value
36,"Off-highway Dump Truck XGA5902D3T (WP12G460E310,LHD)","XGA5902D3T (WP12G460E310,LHD)",GVW(kg),90000
37,Off-highway Dump Truck NXG5760DT,NXG5760DT,Drive Type,6×4
38,Off-highway Dump Truck NXG5760DT,NXG5760DT,Kerb Mass(kg),26500
39,Off-highway Dump Truck NXG5760DT,NXG5760DT,GVW(kg),76000
40,Off-highway Dump Truck NXG5900D3T (WP12G460E310),NXG5900D3T (WP12G460E310),Drive Type,6×4
41,Off-highway Dump Truck NXG5900D3T (WP12G460E310),NXG5900D3T (WP12G460E310),Kerb Mass(kg),33000
42,Off-highway Dump Truck NXG5900D3T (WP12G460E310),NXG5900D3T (WP12G460E310),GVW(kg),90000
43,Off-highway Dump Truck XGA5902D3T (WP12G430E310),XGA5902D3T (WP12G430E310),Drive Type,6×4
44,Off-highway Dump Truck XGA5902D3T (WP12G430E310),XGA5902D3T (WP12G430E310),Kerb Mass(kg),32000
45,Off-highway Dump Truck XGA5902D3T (WP12G430E310),XGA5902D3T (WP12G430E310),GVW(kg),90000
46,"Off-highway Dump Truck XGA5902D3T (WP12G460E310,LHD)","XGA5902D3T (WP12G460E310,LHD)",Drive Type,6×4
47,"Off-highway Dump Truck XGA5902D3T (WP12G460E310,LHD)","XGA5902D3T (WP12G460E310,LHD)",Kerb Mass(kg),32000
48,"Off-highway Dump Truck XGA5902D3T (WP12G460E310,LHD)","XGA5902D3T (WP12G460E310,LHD)",GVW(kg),90000
49,"Off-highway Dump Truck XGA5902D3T (WP12G460E310,RHD)","XGA5902D3T (WP12G460E310,RHD)",Drive Type,6×4
50,"Off-highway Dump Truck XGA5902D3T (WP12G460E310,RHD)","XGA5902D3T (WP12G460E310,RHD)",Kerb Mass(kg),32000
51,"Off-highway Dump Truck XGA5902D3T (WP12G460E310,RHD)","XGA5902D3T (WP12G460E310,RHD)",GVW(kg),90000
52,Off-highway Dump Truck XGA5904D3T,XGA5904D3T,Drive Type,6×4
53,Off-highway Dump Truck XGA5904D3T,XGA5904D3T,Kerb Mass(kg),34680
54,Off-highway Dump Truck XGA5904D3T,XGA5904D3T,GVW(kg),91000
55,"Off-highway Dump Truck XGA5902D3T (WP12G460E310,LHD)","XGA5902D3T (WP12G460E310,LHD)",Drive Type,6×4
56,"Off-highway Dump Truck XGA5902D3T (WP12G460E310,LHD)","XGA5902D3T (WP12G460E310,LHD)",Kerb Mass(kg),32000
57,"Off-highway Dump Truck XGA5902D3T (WP12G460E310,LHD)","XGA5902D3T (WP12G460E310,LHD)",GVW(kg),90000
58,"Off-highway Dump Truck XGA5902D3T (WP12G460E310,RHD)","XGA5902D3T (WP12G460E310,RHD)",Drive Type,6×4
59,"Off-highway Dump Truck XGA5902D3T (WP12G460E310,RHD)","XGA5902D3T (WP12G460E310,RHD)",Kerb Mass(kg),32000
60,"Off-highway Dump Truck XGA5902D3T (WP12G460E310,RHD)","XGA5902D3T (WP12G460E310,RHD)",GVW(kg),90000
61,Off-highway Dump Truck XGA5904D3T,XGA5904D3T,Drive Type,6×4
62,Off-highway Dump Truck XGA5904D3T,XGA5904D3T,Kerb Mass(kg),34680
63,Off-highway Dump Truck XGA5904D3T,XGA5904D3T,GVW(kg),91000
64,Trcctor NXGA4180D3WA,NXGA4180D3WA,Drive Type,4×2
65,Trcctor NXGA4180D3WA,NXGA4180D3WA,Kerb Mass(kg),7120
66,Trcctor NXGA4180D3WA,NXGA4180D3WA,GVW(kg),42000
67,Trcctor XGA4250D3WA (12JSD180T),XGA4250D3WA (12JSD180T),Drive Type,4×2
68,Trcctor XGA4250D3WA (12JSD180T),XGA4250D3WA (12JSD180T),Kerb Mass(kg),7609
69,Trcctor XGA4250D3WA (12JSD180T),XGA4250D3WA (12JSD180T),GVW(kg),42000
70,Trcctor XGA4250D3WA,XGA4250D3WA,Drive Type,4×2
71,Trcctor XGA4250D3WA,XGA4250D3WA,Kerb Mass(kg),7609
72,Trcctor XGA4250D3WA,XGA4250D3WA,GVW(kg),42000
73,Trcctor NXGA4180D3WA,NXGA4180D3WA,Drive Type,4×2
74,Trcctor NXGA4180D3WA,NXGA4180D3WA,Kerb Mass(kg),7120
75,Trcctor NXGA4180D3WA,NXGA4180D3WA,GVW(kg),42000
76,Trcctor XGA4250D2WC (16T),XGA4250D2WC (16T),Drive Type,6×4
77,Trcctor XGA4250D2WC (16T),XGA4250D2WC (16T),Kerb Mass(kg),9724
78,Trcctor XGA4250D2WC (16T),XGA4250D2WC (16T),GVW(kg),90000
79,Trcctor XGA4250D3WA (16JZSD200A),XGA4250D3WA (16JZSD200A),Drive Type,4×2
80,Trcctor XGA4250D3WA (16JZSD200A),XGA4250D3WA (16JZSD200A),Kerb Mass(kg),7609
81,Trcctor XGA4250D3WA (16JZSD200A),XGA4250D3WA (16JZSD200A),GVW(kg),42000
82,Trcctor NXG5250TYCW2,NXG5250TYCW2,Drive Type,6×4
83,Trcctor NXG5250TYCW2,NXG5250TYCW2,Kerb Mass(kg),11520
84,Trcctor NXG5250TYCW2,NXG5250TYCW2,GVW(kg),36000
85,Trcctor XGA4250D3WC (SC12E430Q3B),XGA4250D3WC (SC12E430Q3B),Drive Type,6×4
86,Trcctor XGA4250D3WC (SC12E430Q3B),XGA4250D3WC (SC12E430Q3B),Kerb Mass(kg),11260
87,Trcctor XGA4250D3WC (SC12E430Q3B),XGA4250D3WC (SC12E430Q3B),GVW(kg),120000
88,Trcctor XGA4250D2WC (13T),XGA4250D2WC (13T),Drive Type,6×4
89,Trcctor XGA4250D2WC (13T),XGA4250D2WC (13T),Kerb Mass(kg),9319
90,Trcctor XGA4250D2WC (13T),XGA4250D2WC (13T),GVW(kg),60000
91,Trcctor XGA4250D3WA (16JZSD200A),XGA4250D3WA (16JZSD200A),Drive Type,4×2
92,Trcctor XGA4250D3WA (16JZSD200A),XGA4250D3WA (16JZSD200A),Kerb Mass(kg),7609
93,Trcctor XGA4250D3WA (16JZSD200A),XGA4250D3WA (16JZSD200A),GVW(kg),42000
94,Trcctor XGA4250D3WB (WP12.430N),XGA4250D3WB (WP12.430N),Drive Type,6×4
95,Trcctor XGA4250D3WB (WP12.430N),XGA4250D3WB (WP12.430N),Kerb Mass(kg),9184
96,Trcctor XGA4250D3WB (WP12.430N),XGA4250D3WB (WP12.430N),GVW(kg),55000
97,Trcctor XGA4250D3WB (WP12.375N),XGA4250D3WB (WP12.375N),Drive Type,6×4
98,Trcctor XGA4250D3WB (WP12.375N),XGA4250D3WB (WP12.375N),Kerb Mass(kg),8500
99,Trcctor XGA4250D3WB (WP12.375N),XGA4250D3WB (WP12.375N),GVW(kg),46000
100,Trcctor XGA4250D2KC,XGA4250D2KC,Drive Type,6×4
101,Trcctor XGA4250D2KC,XGA4250D2KC,Kerb Mass(kg),9885
102,Trcctor XGA4250D2KC,XGA4250D2KC,GVW(kg),90000
103,Trcctor XGA4181D5NA,XGA4181D5NA,Drive Type,4×2
104,Trcctor XGA4181D5NA,XGA4181D5NA,Kerb Mass(kg),6568
105,Trcctor XGA4181D5NA,XGA4181D5NA,GVW(kg),40000
106,Trcctor NXG4250D5NC (WP12.430E50),NXG4250D5NC (WP12.430E50),Drive Type,6×4
107,Trcctor NXG4250D5NC (WP12.430E50),NXG4250D5NC (WP12.430E50),Kerb Mass(kg),8429
108,Trcctor NXG4250D5NC (WP12.430E50),NXG4250D5NC (WP12.430E50),GVW(kg),60000
109,Trcctor NXG4250D5NC (WP10H375E50),NXG4250D5NC (WP10H375E50),Drive Type,6×4
110,Trcctor NXG4250D5NC (WP10H375E50),NXG4250D5NC (WP10H375E50),Kerb Mass(kg),8429
111,Trcctor NXG4250D5NC (WP10H375E50),NXG4250D5NC (WP10H375E50),GVW(kg),50000
112,Trcctor NXG4250D5WC,NXG4250D5WC,Drive Type,6×4
113,Trcctor NXG4250D5WC,NXG4250D5WC,Kerb Mass(kg),9750
114,Trcctor NXG4250D5WC,NXG4250D5WC,GVW(kg),49000
115,Trcctor NXGA4250D3WC,NXGA4250D3WC,Drive Type,6×4
116,Trcctor NXGA4250D3WC,NXGA4250D3WC,Kerb Mass(kg),9750
117,Trcctor NXGA4250D3WC,NXGA4250D3WC,GVW(kg),90000
118,Trcctor XGA4250D3WC (12JSD200TA),XGA4250D3WC (12JSD200TA),Drive Type,6×4
119,Trcctor XGA4250D3WC (12JSD200TA),XGA4250D3WC (12JSD200TA),Kerb Mass(kg),10400
120,Trcctor XGA4250D3WC (12JSD200TA),XGA4250D3WC (12JSD200TA),GVW(kg),90000
121,Trcctor XGA4250D3WC (16JZSD220A),XGA4250D3WC (16JZSD220A),Drive Type,6×4
