id,equipment_name,model,spec_name,spec_value
176,Light Weight Compactor XMR403S (North American),XMR403S (North American),"Axle load, front(kg)",2050
177,Light Weight Compactor XMR403S (North American),XMR403S (North American),"Axle load, rear(kg)",2050
178,Light Weight Compactor XMR403SVT,XMR403SVT,Operating weight(kg),4000
179,Light Weight Compactor XMR403SVT,XMR403SVT,"Axle load, front(kg)",2000
180,Light Weight Compactor XMR403SVT,XMR403SVT,"Axle load, rear(kg)",2000
181,Light Weight Compactor XMR403SVT(North American),XMR403SVT(North American),Operating weight(kg),3880
182,Light Weight Compactor XMR403SVT(North American),XMR403SVT(North American),"Axle load, front(kg)",1860
183,Light Weight Compactor XMR403SVT(North American),XMR403SVT(North American),"Axle load, rear(kg)",2020
184,Light Weight Compactor XMR403VO,XMR403VO,Operating weight(kg),4160
185,Light Weight Compactor XMR403VO,XMR403VO,"Axle load, front(kg)",1934
186,Light Weight Compactor XMR403VO,XMR403VO,"Axle load, rear(kg)",2226
187,Light Weight Compactor XMR403VT,XMR403VT,Operating weight(kg),4000
188,Light Weight Compactor XMR403VT,XMR403VT,"Axle load, front(kg)",2000
189,Light Weight Compactor XMR403VT,XMR403VT,"Axle load, rear(kg)",2000
190,Single drum rollers  & soil compactors  XS395,XS395,Operating weight(kg),38340
191,Single drum rollers  & soil compactors  XS395,XS395,"Axle load, front(kg)",25560
192,Single drum rollers  & soil compactors  XS395,XS395,"Axle load, rear(kg)",12780
193,Single drum rollers  & soil compactors  XS365,XS365,Operating weight(kg),36000
194,Single drum rollers  & soil compactors  XS365,XS365,"Axle load, front(kg)",24000
195,Single drum rollers  & soil compactors  XS365,XS365,"Axle load, rear(kg)",12000
196,Single drum rollers  & soil compactors  XS335,XS335,Operating weight(kg),33500
197,Single drum rollers  & soil compactors  XS335,XS335,"Axle load, front(kg)",22500
198,Single drum rollers  & soil compactors  XS335,XS335,"Axle load, rear(kg)",11000
199,Single drum rollers  & soil compactors  XS303S,XS303S,Operating weight(kg),30000
200,Single drum rollers  & soil compactors  XS303S,XS303S,"Axle load, front(kg)",18000
201,Single drum rollers  & soil compactors  XS303S,XS303S,"Axle load, rear(kg)",12000
