horsepower,machine_weight,equipment_type,image_url,bucket_capacity,operating_weight,max_lift_capacity,max_digging_height,model,extended_high_reach,product_url,grapple_capacity,extended_high_reach_weight,maximum_reach
"165 HP @ 2,000 rpm",,Excavator,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_6e8863cdaa72411c9a6af45563d75df1?v=31ff9ca7,0.66 - 1.57 yd³,"51,397 - 53,882 lbs.",,,PC210LC-11,,https://www.komatsu.com/en/products/excavators/mid-size-excavators/pc210lc-11/,,,
"165 HP @ 2,000 rpm",,Excavator,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/jRelated_44f8cbdddca4468d8c0e01cde1352057?v=2eb7fc94,,"51,397 - 53,882 lbs.","40,850 lbs.",,PC210LC-11 WH,,https://www.komatsu.com/en/products/excavators/mid-size-excavators/pc210lc-11-wh/,,,
"165 HP @ 2,000 rpm",,Excavator,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_16bc5ca493d349ed970352dc8fb6fb79?v=9535e9c9,0.6 yd&sup3;,"55,029 - 55,646  lbs.",,,PC210LC-11 SLF,,https://www.komatsu.com/en/products/excavators/mid-size-excavators/pc210lc-11-slf/,,,
"165 HP @ 2,000 rpm",,Excavator,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_8642d5b93b6d4f8f9c1e3ae37fb344fa?v=e0362804,0.66 - 1.57 yd³,"54,230 - 55,660 lbs.",,,PC238USLC-11,,https://www.komatsu.com/en/products/excavators/mid-size-excavators/pc238uslc-11/,,,
"177 HP @ 2,000 rpm",,Excavator,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_4d0be96b9ce44e3490dbc0484b1ccb95?v=1c2ec587,0.76 - 1.85 yd³,"55,763 - 56,360 lbs.",,,PC240LC-11,,https://www.komatsu.com/en/products/excavators/mid-size-excavators/pc240lc-11/,,,
"177 HP @ 2,000 rpm",,Excavator,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_16bc5ca493d349ed970352dc8fb6fb79?v=3b36bc1f,0.75 yd&sup3;,"58,618 - 59,235 lbs.",,,PC240LC-11 SLF,,https://www.komatsu.com/en/products/excavators/mid-size-excavators/pc240lc-11-slf/,,,
"196 HP @ 2,000 rpm","67,120 lbs.",Excavator,https://komatsu.stylelabs.cloud/api/public/content/RelatedProducts_b7e2e118f3054fb8bd77c25557cee951?v=f4195e8d,,,,42 ft. 8 in,PC290LC-11 demolition,,https://www.komatsu.com/en/products/excavators/mid-size-excavators/pc290lc-11-demolition/,,,
"196 HP @ 2,000 rpm",,Excavator,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_21b5829bacc648938173422258e29bf2?v=ad5d1b5e,0.76 - 2.13 yd³,"70,702 - 72,091 lbs.",,,PC290LCi-11,,https://www.komatsu.com/en/products/excavators/mid-size-excavators/pc290lci-11/,,,
"196 HP @ 2,000 rpm",,Excavator,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/2Related_21b5829bacc648938173422258e29bf2?v=47c369be,0.76 - 2.13 yd³,"70,702 - 72,091 lbs.",,,PC290LC-11,,https://www.komatsu.com/en/products/excavators/mid-size-excavators/pc290lc-11/,,,
"196 HP @ 2,000 rpm",,Excavator,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_16bc5ca493d349ed970352dc8fb6fb79?v=34cea181,0.75 yd&sup3;,"71,733 - 73,122 lbs.",,,PC290LC-11 SLF,,https://www.komatsu.com/en/products/excavators/mid-size-excavators/pc290lc-11-slf/,,,
"257 HP @ 1,950 rpm","78,551 lbs.",Excavator,https://komatsu.stylelabs.cloud/api/public/content/RelatedProducts_c8612360201b4059b00ffd4d2cab8fd5?v=b8a0d075,,,,42 ft. 5 in,PC360LC-11 demolition,,https://www.komatsu.com/en/products/excavators/mid-size-excavators/pc360lc-11-demolition/,,,
"362 @ 2,000 rpm",,Excavator,https://komatsu.stylelabs.cloud/api/public/content/RelatedProducts_6b4b0757320a467ab5096c301b99863d?v=f0a921b9,,,,,PC490HRD-11 demolition,"104.3 ft. with 5,512 lbs. max attachment",https://www.komatsu.com/en/products/excavators/mid-size-excavators/pc490hrd-11-demolition/,,"161,500 lbs.",
"359 HP @ 1,900 rpm","107,497 lbs.",Excavator,https://komatsu.stylelabs.cloud/api/public/content/RelatedProducts_6824bdd119c146e18e99eaf2925eea43?v=95b6298f,,,,47 ft. 3 in,PC490LC-11 demolition,,https://www.komatsu.com/en/products/excavators/mid-size-excavators/pc490lc-11-demolition/,,,
"257 HP @ 1,950 rpm",,Excavator,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_9384c1ac1bba47e1bbe7e632e6c516c0?v=b03dbb86,0.89 - 2.56 yd³,"78,645 - 80,547 lbs.",,,PC360LCi-11,,https://www.komatsu.com/en/products/excavators/large-excavators/pc360lci-11/,,,
"257 HP @ 1,950 rpm",,Excavator,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_c9fb8734b1e1480697943d4b59942791?v=178633c4,0.89 - 2.56 yd³,"78,645 - 80,547 lbs.",,,PC360LC-11,,https://www.komatsu.com/en/products/excavators/large-excavators/pc360lc-11/,,,
"257 HP @ 1,950 rpm",,Excavator,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/jRelated_44f8cbdddca4468d8c0e01cde1352057?v=864625d6,,"78,645 - 80,547 lbs.","45,280 lbs.",,PC360LC-11 WH,,https://www.komatsu.com/en/products/excavators/large-excavators/pc360lc-11-wh/,,,
"257 HP @ 1,950 rpm",,Excavator,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_16bc5ca493d349ed970352dc8fb6fb79?v=bd831eae,1.25 yd&sup3;,"80,263 - 81,938 lbs.",,,PC360LC-11 SLF,,https://www.komatsu.com/en/products/excavators/large-excavators/pc360lc-11-slf/,,,
"269 HP @ 1,950 rpm",,Excavator,https://mss-p-015-delivery.stylelabs.cloud/api/public/content/Related_1ebad04ae1cd4bc39e322921e46f585c?v=3b45f5ed,0.89 - 2.56 yd³,"81,791 - 85,495 lbs.",,,HB365LC-3,,https://www.komatsu.com/en/products/excavators/large-excavators/hb365lc-3/,,,
